rat_spec,in_tree,in_sec,in_hz
Agkistrodon_bilineatus,TRUE,TRUE,TRUE
Agkistrodon_contortrix,TRUE,TRUE,TRUE
Agkistrodon_piscivorus,TRUE,TRUE,TRUE
Agkistrodon_taylori,TRUE,TRUE,TRUE
Atropoides_nummifer,TRUE,TRUE,TRUE
Bothrops_asper,TRUE,TRUE,TRUE
Bothrops_atrox,TRUE,TRUE,TRUE
Bothrops_caribbaeus,TRUE,TRUE,TRUE
Bothrops_colombiensis,TRUE,TRUE,TRUE
Bothrops_moojeni,TRUE,TRUE,TRUE
Crotalus_adamanteus,TRUE,TRUE,TRUE
Crotalus_atrox,TRUE,TRUE,TRUE
Crotalus_basiliscus,TRUE,TRUE,TRUE
Crotalus_catalinensis,TRUE,TRUE,TRUE
Crotalus_durissus,TRUE,TRUE,TRUE
Crotalus_horridus,TRUE,TRUE,TRUE
Crotalus_lepidus,TRUE,TRUE,TRUE
Crotalus_mitchellii,TRUE,TRUE,TRUE
Crotalus_molossus,TRUE,TRUE,TRUE
Crotalus_oreganus,TRUE,TRUE,TRUE
Crotalus_polystictus,TRUE,FALSE,TRUE
Elaphe_climacophora,TRUE,TRUE,TRUE
Lachesis_muta,TRUE,TRUE,TRUE
Lampropeltis_calligaster,TRUE,TRUE,TRUE
Lampropeltis_getula,TRUE,TRUE,TRUE
Orthriophis_taeniurus,TRUE,TRUE,TRUE
Pantherophis_alleghaniensis,TRUE,TRUE,TRUE
Pantherophis_guttatus,TRUE,TRUE,TRUE
Pantherophis_obsoletus,TRUE,TRUE,TRUE
Pituophis_catenifer,TRUE,TRUE,TRUE
Pituophis_melanoleucus,TRUE,TRUE,TRUE
Porthidium_ophryomegas,TRUE,TRUE,TRUE
Sistrurus_catenatus,TRUE,TRUE,TRUE
Sistrurus_miliarius,TRUE,TRUE,TRUE
